RECVDATE,DIED
2021-01-01,1
2021-01-03,2
2021-01-05,5
2021-01-06,2
2021-01-08,1
2021-01-09,2
2021-01-10,2
2021-01-11,4
2021-01-12,7
2021-01-13,7
2021-01-14,3
2021-01-15,1
2021-01-16,1
2021-01-17,1
2021-01-18,6
2021-01-19,7
2021-01-20,6
2021-01-21,20
2021-01-22,6
2021-01-24,2
2021-01-25,14
2021-01-26,9
2021-01-27,11
2021-01-28,16
2021-01-29,11
2021-01-30,1
2021-01-31,1
2021-02-01,8
2021-02-02,11
2021-02-03,1
2021-02-04,14
2021-02-05,15
2021-02-06,1
2021-02-07,4
2021-02-08,17
2021-02-09,10
2021-02-10,20
2021-02-11,14
2021-02-12,6
2021-02-13,6
2021-02-14,2
2021-02-15,19
2021-02-16,8
2021-02-17,18
2021-02-18,14
2021-02-19,8
2021-02-20,2
2021-02-21,1
2021-02-22,15
2021-02-23,13
2021-02-24,16
2021-02-25,11
2021-02-26,19
2021-02-27,4
2021-02-28,2
2021-03-01,10
2021-03-02,22
2021-03-03,14
2021-03-04,22
2021-03-05,20
2021-03-07,3
2021-03-08,12
2021-03-09,7
2021-03-10,13
2021-03-11,16
2021-03-12,13
2021-03-13,2
2021-03-14,3
2021-03-15,13
2021-03-16,14
2021-03-17,12
2021-03-18,34
2021-03-19,27
2021-03-21,1
2021-03-22,13
2021-03-23,19
2021-03-24,16
2021-03-25,23
2021-03-26,9
2021-03-27,5
2021-03-28,5
2021-03-29,9
2021-03-30,19
2021-03-31,31
2021-04-01,37
2021-04-02,14
2021-04-03,4
2021-04-04,3
2021-04-05,19
2021-04-06,4
2021-04-07,21
2021-04-08,14
2021-04-09,17
2021-04-10,11
2021-04-11,3
2021-04-12,10
2021-04-13,30
2021-04-14,16
2021-04-15,32
2021-04-16,28
2021-04-17,9
2021-04-18,15
2021-04-19,24
2021-04-20,29
2021-04-21,27
2021-04-22,25
2021-04-23,23
2021-04-24,7
2021-04-25,15
2021-04-26,14
2021-04-27,14
2021-04-28,28
2021-04-29,25
2021-04-30,11
2021-05-01,19
2021-05-02,8
2021-05-03,11
2021-05-04,18
2021-05-05,14
2021-05-06,10
2021-05-07,14
2021-05-08,7
2021-05-10,22
2021-05-11,8
2021-05-12,11
2021-05-13,13
2021-05-14,7
2021-05-15,10
2021-05-16,1
2021-05-17,11
2021-05-18,6
2021-05-19,11
2021-05-20,19
2021-05-21,10
2021-05-22,6
2021-05-24,3
2021-05-25,13
2021-05-26,17
2021-05-27,17
2021-05-28,8
2021-05-29,3
2021-05-30,1
2021-05-31,2
2021-06-01,9
2021-06-02,9
2021-06-03,8
2021-06-04,12
2021-06-06,1
2021-06-07,3
2021-06-08,14
2021-06-09,7
2021-06-10,7
2021-06-11,7
2021-06-12,5
2021-06-14,7
2021-06-15,9
2021-06-16,9
2021-06-17,15
2021-06-18,7
2021-06-19,4
2021-06-20,1
2021-06-21,12
2021-06-22,19
2021-06-23,12
2021-06-24,26
2021-06-25,37
2021-06-26,4
2021-06-27,1
2021-06-28,9
2021-06-29,32
2021-06-30,17
2021-07-01,10
2021-07-02,5
2021-07-03,9
2021-07-04,2
2021-07-05,2
2021-07-06,7
2021-07-07,20
2021-07-08,7
2021-07-09,12
